min_support=0.01
n_itemsets=261
time_sec=0.064106
набор	поддержка
{минеральная вода}	0.238368
{макароны}	0.187975
{яйца}	0.179709
{картофель-фри}	0.170911
{шоколад}	0.163845
{зеленый чай}	0.132116
{молоко}	0.129583
{говяжий фарш}	0.098254
{замороженные овощи}	0.095321
{блинчики}	0.095054
{гамбургер}	0.087188
{торт}	0.081056
{печенье}	0.080389
{эскалоп}	0.079323
{низкокалорийный йогурт}	0.076523
{рис}	0.075990
{креветки}	0.071457
{помидоры}	0.068391
{оливковое масло}	0.065858
{замороженный смузи}	0.063325
{индейка}	0.062525
{макароны, минеральная вода}	0.061192
{курица}	0.059992
{минеральная вода, шоколад}	0.052660
{тертый сыр}	0.052393
{растительное масло}	0.051060
{минеральная вода, яйца}	0.050927
{суп}	0.050527
{травы и перец}	0.049460
{минеральная вода, молоко}	0.047994
{мед}	0.047460
{шампанское}	0.046794
{свежий хлеб}	0.043061
{лосось}	0.042528
{говяжий фарш, минеральная вода}	0.040928
{макароны, шоколад}	0.040795
{говяжий фарш, макароны}	0.040261
{макароны, яйца}	0.038662
{макароны, молоко}	0.036928
{картофель-фри, яйца}	0.036395
{замороженные овощи, минеральная вода}	0.035729
{картофель-фри, шоколад}	0.034395
{блинчики, минеральная вода}	0.033729
{картофель-фри, минеральная вода}	0.033729
{пирожные}	0.033729
{авокадо}	0.033329
{шоколад, яйца}	0.033196
{хот-дог}	0.032396
{молоко, шоколад}	0.032129
{творог}	0.031862
{зеленый чай, минеральная вода}	0.031063
{молоко, яйца}	0.030796
{томатный сок}	0.030396
{картофель-фри, макароны}	0.030129
{сливочное масло}	0.030129
{цельнозерновые макароны}	0.029463
{гамбургер, яйца}	0.028796
{зеленый чай, картофель-фри}	0.028530
{замороженные овощи, макароны}	0.028263
{зеленый чай, макароны}	0.028130
{красное вино}	0.028130
{минеральная вода, оливковое масло}	0.027596
{минеральная вода, торт}	0.027463
{йогурт}	0.027330
{минеральная вода, рис}	0.027330
{низкокалорийный майонез}	0.027196
{энергетический батончик}	0.027063
{энергетический напиток}	0.026663
{ветчина}	0.026530
{перец}	0.026530
{овощная смесь}	0.025730
{хлопья}	0.025730
{блинчики, макароны}	0.025597
{зеленый чай, яйца}	0.025463
{креветки, макароны}	0.025197
{гамбургер, минеральная вода}	0.024397
{минеральная вода, помидоры}	0.024397
{маффины}	0.024130
{минеральная вода, низкокалорийный йогурт}	0.023997
{картофель-фри, молоко}	0.023730
{макароны, оливковое масло}	0.023730
{замороженные овощи, молоко}	0.023597
{креветки, минеральная вода}	0.023597
{зеленый чай, шоколад}	0.023464
{гамбургер, макароны}	0.023197
{говяжий фарш, шоколад}	0.023064
{масло}	0.023064
{минеральная вода, суп}	0.023064
{замороженные овощи, шоколад}	0.022930
{курица, минеральная вода}	0.022797
{протеиновый батончик}	0.022530
{французское вино}	0.022530
{свежий тунец}	0.022264
{гамбургер, картофель-фри}	0.021997
{говяжий фарш, молоко}	0.021997
{блинчики, яйца}	0.021730
{замороженные овощи, яйца}	0.021730
{макароны, помидоры}	0.021597
{клубника}	0.021330
{фрикадельки}	0.020931
{миндаль}	0.020397
{замороженный смузи, минеральная вода}	0.020264
{блинчики, картофель-фри}	0.020131
{минеральная вода, растительное масло}	0.020131
{говяжий фарш, яйца}	0.019997
{блинчики, шоколад}	0.019864
{макароны, рис}	0.019864
{пармезан}	0.019864
{макароны, эскалоп}	0.019597
{индейка, яйца}	0.019464
{индейка, минеральная вода}	0.019197
{грибной соус}	0.019064
{замороженные овощи, картофель-фри}	0.019064
{торт, яйца}	0.019064
{макароны, торт}	0.018531
{креветки, шоколад}	0.017998
{гамбургер, молоко}	0.017864
{картофель-фри, торт}	0.017864
{курица, макароны}	0.017731
{зеленый чай, молоко}	0.017598
{креветки, молоко}	0.017598
{шоколад, эскалоп}	0.017598
{гамбургер, зеленый чай}	0.017464
{минеральная вода, тертый сыр}	0.017464
{мята}	0.017464
{индейка, макароны}	0.017331
{макароны, тертый сыр}	0.017331
{говяжий фарш, макароны, минеральная вода}	0.017198
{гамбургер, шоколад}	0.017064
{лосось, минеральная вода}	0.017064
{минеральная вода, травы и перец}	0.017064
{минеральная вода, эскалоп}	0.017064
{молоко, оливковое масло}	0.017064
{рис, шоколад}	0.017064
{говяжий фарш, замороженные овощи}	0.016931
{низкокалорийный йогурт, яйца}	0.016798
{замороженные овощи, креветки}	0.016664
{белое вино}	0.016531
{блинчики, молоко}	0.016531
{блинчики, зеленый чай}	0.016398
{картофель-фри, эскалоп}	0.016398
{макароны, минеральная вода, шоколад}	0.016398
{макароны, растительное масло}	0.016398
{макароны, травы и перец}	0.016398
{оливковое масло, шоколад}	0.016398
{замороженные овощи, помидоры}	0.016131
{замороженный смузи, макароны}	0.016131
{макароны, минеральная вода, молоко}	0.016131
{макароны, низкокалорийный йогурт}	0.016131
{говяжий фарш, травы и перец}	0.015998
{низкокалорийный крем}	0.015598
{морковь}	0.015331
{макароны, минеральная вода, яйца}	0.015198
{молоко, суп}	0.015198
{мед, минеральная вода}	0.015065
{замороженный смузи, шоколад}	0.014931
{картофель-фри, рис}	0.014931
{макароны, суп}	0.014931
{говяжий фарш, зеленый чай}	0.014798
{курица, молоко}	0.014798
{низкокалорийный йогурт, шоколад}	0.014798
{курица, шоколад}	0.014665
{блинчики, говяжий фарш}	0.014531
{замороженный смузи, картофель-фри}	0.014531
{замороженные овощи, зеленый чай}	0.014398
{курица, яйца}	0.014398
{замороженный смузи, молоко}	0.014265
{молоко, рис}	0.014265
{черный чай}	0.014265
{говяжий фарш, оливковое масло}	0.014131
{зеленый чай, торт}	0.014131
{креветки, яйца}	0.014131
{томатный соус}	0.014131
{минеральная вода, молоко, шоколад}	0.013998
{молоко, помидоры}	0.013998
{помидоры, шоколад}	0.013998
{рис, яйца}	0.013998
{говяжий фарш, картофель-фри}	0.013865
{лосось, макароны}	0.013732
{белый сыр}	0.013598
{растительное масло, шоколад}	0.013598
{торт, шоколад}	0.013598
{блинчики, замороженные овощи}	0.013465
{жевательная резинка}	0.013465
{минеральная вода, шоколад, яйца}	0.013465
{картофель-фри, низкокалорийный йогурт}	0.013332
{картофель-фри, печенье}	0.013332
{минеральная вода, свежий хлеб}	0.013332
{молоко, торт}	0.013332
{баклажаны}	0.013198
